,categories,title,company_names,percentages,funding_amounts,target_amounts,n_supporters,likes,descriptions,durations,days_left
409,뷰티,"남/여 피부 관리, 모델 하연화가 픽한 바디케어미스트로 관리하자!",소냐도르,136%,"684,900원","500,000원",20,10,"남/여 피부관리? 모델 하연화가 픽한 소냐도르 바디케어미스트로 관리하세요!
칼라민, BHA, PHA 성분으로 모공 속 피지/각질 케어 및 진정/보습케어로 바디를 매끈하고 깨끗하게!",2020.07.31-2020.08.10,None
410,뷰티,전성분 EWG 안심등급! 무자극 마스크팩 ,(주)씨엠트루,107%,"1,071,500원","1,000,000원",45,21,"trust beyond beauty
트루비는 피부 본연의 가치, 정직한 효과를 위해 존재 합니다.
트루비 헬프미 마스크팩은 
민감한피부도사용할수있게 안전한성분으로만 만들었습니다.",2019.02.20-2019.03.20,None
411,뷰티,[세상에 없던 비건] 얼어붙은 피부에 보습만렙 #밀크티 크림에센스,(주)이지함화장품,971%,"4,857,300원","500,000원",213,195,"영양 가득 크림이 올라간 비건 콤부차 에센스, 흔들기만하면? 준비 완료! 건강한 피부를 선물해주는 자연이 더이상 멍들지 않도록
엄선된 원료와 기술력을 에센스 단 한병에 담았습니다.",2020.12.04-2020.12.21,None
412,뷰티,⭐누적고객300만⭐ 탈모클리닉 전문가의 진짜 탈모샴푸[닥터스칼프 디케어],닥터스칼프,4371%,"21,859,600원","500,000원",322,194,"10년간 312개의 탈모케어센터를 운영하는 전문가가 철저한 임상데이터와 자사만의 기술력이 집약된 진짜 탈모샴푸, 이제 디케어로 마음까지 Deep Care 하자!",2019.06.20-2019.07.07,None
413,뷰티,[치과 걱정 BYE~] 한달에 딱 한 번! 셀프 치아 코팅!,(주)남양바이오,1831%,"9,159,000원","500,000원",226,227,셀프!치아코팅!! 100세까지 내치아로 건강하게 씹고 뜯고 즐기세요!,2021.03.15-2021.03.29,None
414,뷰티,One time one capsule! 아로마로 힐링샤워&캡슐 ,바이오켐코리아,198%,"1,989,300원","1,000,000원",55,27,"향따라 골라 쓰는 재미.  One time, one capsule! 커피만 골라 마시나요? 이젠 샤워할때 내 취향대로 골라 쓰는 재미를 드립니다.",2016.11.10-2016.12.18,None
415,뷰티,[앵콜] EGF생산기업에서 만든 가장 안정한 [동결건조 EGF 앰플],엘에스엠(주),374%,"1,873,000원","500,000원",73,72,동결건조 공정(Freeze Drying Process)을 통해 생산된 동결건조 EGF화장품. 단백질 소재 R&D 벤쳐기업 엘에스엠(주)에서 선보입니다.,2019.10.01-2019.10.20,None
416,뷰티,"피부 스스로의 재생능력 그 자연의 힘을 담은 에센스, 설침향",백설침향,161%,"3,230,000원","2,000,000원",45,19,"화학성분을 배제한 천연화장품. 
유통과정 중 단 0.001%의 화학적 성분마저 배제하기 위한 
미얀마 땅콩농장 방문기_순수 낙화생유를 만나다.",2016.11.28-2016.12.12,None
417,뷰티,건강한 손톱관리를 위한 셀프 네일 트리트먼트,(주)라온케이,1%,"19,800원","1,000,000원",13,10,"아름다움을 위해 가리기만 했던 손톱.
가려진 진짜 내 손톱이 아프다고 소리치는데 정작 우리는 무관심 했죠.
여러분들의 건강한 손톱을 위해 셀프 파라핀 네일 트리트먼트를 준비했습니다",2019.06.07-2019.06.16,펀딩성공
418,뷰티,커피로 만든 천연 숙성 핸드메이드 #비누인듯 #비누아닌 #비누거품팩 ,(주)아이합,111%,"555,000원","500,000원",27,25,"신선한 커피로 만든 버블팩 ""다이아빈 네츄럴 마스크 솝""은  매일 아침 1분 천연 오일 거품팩으로 모공 피지를 쏙쏙 관리해서 맑은 피부가 기대되는 디자이너가 기획한 천연버블팩입니다",2019.10.15-2019.11.13,None
419,뷰티,"편리한 아름다움, 접착제가 필요없는 자석 인조 속눈썹 ""글램래쉬""",(주)그리티유스,236%,"3,075,833원","1,300,000원",92,82,"편리한 아름다움, 접착제가 필요없는 자석 인조 속눈썹 ""글램래쉬""",2018.06.22-2018.07.22,None
420,뷰티,"옛 조선시대美人들의 세안법, 팥물클렌저",비포즈,646%,"3,231,000원","500,000원",110,59,옛 조선시대 미인들의 세안법을 현대적으로 재해석했습니다. 클렌징아닌 '클렌징케어' 팥물클렌징워터를 소개해드릴게요! 정제수 대신에 팥물 81% 아낌없이 담았습니다.,2018.11.29-2018.12.20,None
421,뷰티,"보들보들 매끄러운 피부, 순하게 시작하는 모공관리 <버블레이저아큐티트리>",메이크힐,182%,"1,821,800원","1,000,000원",69,43,"매끈하고 부드러운 피부결, 자극 없이 관리해보세요! 2in1 극세사 엠보 양면패드에, 티트리와 엔자임 효소 가득. 모공, 각질관리를 한번에 끝내는 <버블레이저아큐티트리>",2019.10.10-2019.10.27,None
422,뷰티,내가 쓰는 앰플로 만들어 쓰는 하이드로겔 마스크팩! 홈에스테틱의 끝판왕!,에스제이지이,119%,"1,196,000원","1,000,000원",20,32,"""아까운 앰플 아직도 버리시나요?""
앰플, 자연성분, 스킨 등 다양한 재료를 사용해 내 피부에 맞는 갓 만든 신선한 마스크팩을 만들어보세요.
플로르 하이드로겔 마스크팩 메이커",2020.10.30-2020.11.06,None
423,뷰티,"[전지적케어시점] 더마, 더마니 주세요 : 피부장벽에 도움을 주는 시카셀",바르시오 화장품,746%,"3,734,500원","500,000원",91,40,"미세먼지, 자외선, 각종 공해... 
믿을 건 피부장벽 너뿐이야! 
비타민 혼합성분이 피부장벽 강화에 도움을 주어
더 깨끗하고 탄력있는 피부로 재탄생시키는 바르시오 '시카셀크림'",2019.09.06-2019.09.23,None
424,뷰티,[F7D 멀티세럼]  불가능해 보였던 화장품들,F7D,1555%,"7,779,500원","500,000원",60,101,"F7D 에서 고심끝에 고른 원료들 (이데베논, 순수비타민, 줄기세포배양액)로 만든 세럼입니다.
항상 가치있는 제품들을 알아봐 주시는 와디즈 서포터 여러분께 먼저 선보이고 싶었습니다",2020.07.17-2020.08.17,None
425,뷰티,"[앵콜] 진짜 화산송이로 모공 청소, 저자극으로 깨끗하게!",맥션즈패밀리,181%,"1,815,600원","1,000,000원",88,70,"깨끗한 모공 청소와 피지 관리를 위한 선택! 듬뿍 담긴 '화산송이'가 모공과 피지를 줄여주고, 제주의 청정 자연 식물의 추출물이 피부를 촉촉하게 만듭니다.",2020.06.03-2020.06.30,None
426,뷰티,고가 EGF화장품의 대중화!! 이과생들의 역습!!  ,NEXGENBEAUTY ,304%,"10,046,000원","3,300,000원",124,109,"이과생들의 역습!!
고가의 EGF 스킨케어 리워드를 와디즈에서 특별한 가격으로 만나볼수 있는 기회! 
NEXGENbeauty의 해숲 EGF 홈케어 시리즈!!",2019.04.12-2019.04.30,None
427,뷰티,"[비자극임상]리얼히알루론산성분 피부가 좋아보이는건 기분탓?,아니 수분탓",보니타비토,1480%,"7,400,900원","500,000원",110,154,"예민피부는 화장품의 성분도 다이어트가 필요하다는 사실을 아시나요?
극 예민 피부, 피부 고민이 많은 분들을 위해 정성껏 만들었어요.
한통을 비울때 쯤이면 피부만큼은 좋은사람일거에요",2020.12.12-2021.01.20,None
428,뷰티,공기를 바른 듯한 에어-izm자차! #인생선크림 [바이오아머 선에센스],(주)네스트앤컴퍼니,459%,"2,299,500원","500,000원",86,54,"지금 껏 불편한 선크림만 바르고 계셨죠?  매일 발라야 하는 선크림~ 이젠 공기를 바르는 듯한 바이오아머 선에센스를 매일, 매일 장착해 보세요!",2020.08.13-2020.08.24,None
429,뷰티,"[머스트크림] 선크림,미백, 주름개선까지? 4개 기능을 압축한 톤업크림",메이크힐,290%,"2,901,400원","1,000,000원",106,113,"자연스럽고 밝은 피부 표현을 위해 하나면 충분합니다.
선크림, 톤업, 미백, 주름개선을 하나에 담은 올인원 톤업크림.
화장단계를 줄이고 영양까지 챙겨주는 머스트크림을 만나보세요",2020.02.19-2020.03.08,None
