,categories,title,company_names,percentages,funding_amounts,target_amounts,n_supporters,likes,descriptions,durations,days_left
17,공연·컬쳐,미디어 파사드 기법을 통해 청춘의 이야기를 보여드립니다.,Spring Time,0%,"13,000원","2,000,000원",15,0,"""청춘""을 이야기 하기 위해 전공도, 사는 곳도 전혀 다른 청춘 8인방이 모였습니다. 다양한 청춘의 이야기와 예술적인 감각이 만나 화려한 영상으로 태어나고있습니다. 이 소중한 영상을 대형 건물에 맵핑하여 많은 이들과 함께 나누고 싶습니다!  여러분의 작은 손길이 함께할 때, Spring Time의 청춘 동영상이 서울 한복판 대형 건물에 맵핑될 수 있습니다:D",2014.01.29-2014.02.20,펀딩성공
18,공연·컬쳐,"★미친라인업★사이먼도미닉, 그레이까지! 서핑&뮤직 미드나잇피크닉페스티벌",(주)위고온,349%,"3,496,000원","1,000,000원",18,32,"이국적인 서핑&뮤직 페스티벌! 낮에는 서핑! 밤에는 뮤직! 미드나잇피크닉페스티벌 2019! 미드나잇피크닉페스티벌을
서포터분들께 누구보다 더 똑똑하게 즐기는 방법을 소개해 드립니다",2019.06.13-2019.07.01,None
19,공연·컬쳐,부모님의 가장 젊은 오늘을 의미있게 기록하는법! [리마인드웨딩/가족사진],펜타그라피 스튜디오,335%,"8,390,000원","2,500,000원",16,46,부모님을 위한 특별한 효도선물을 찾고 계신가요? 사랑하는 부모님의 가장 젊은 오늘의 모습을 사진으로 남겨보세요! 진짜 몸만오면 되는 초간편 [ 토탈 리마인드 + 가족사진 촬영권 ],2020.04.10-2020.04.27,None
20,공연·컬쳐,남양주 스몰웨딩 만족도 1위!  와디즈 단독 이벤트 진행 ,남양주 라뷰 ,0%,0원,"3,000,000원",10,25,남양주 스몰웨딩 만족도 1위 ! 분위기 넘사벽 ! 와디즈 서포터님들을 위한 특별이벤트,2019.06.28-2019.08.30,펀딩성공
21,공연·컬쳐,BJ의 이야기로 웹 드라마 만들기! 웹 드라마 <케첩걸> 입니다,강지태,0%,0원,"3,000,000원",1,11,"메이저 BJ가 되기 위한 하꼬 BJ 케첩걸의 성장 드라마!

게임 BJ들과 그들의 매니저, 편집자들의 뒷 이야기를 같이 만나보세요!",2021.04.19-2021.05.07,None
22,공연·컬쳐,[한 달 동안 길-게 즐기는 꽃다발] 트랜스포머 꽃꽂이 온라인 클래스,설해냄,566%,"2,833,500원","500,000원",63,40,"일상에 지친 사람들!
한 개의 꽃다발을 한 달 동안 세가지 스타일로 만들어보는 트랜스포머 온라인 꽃 수업으로 힐링하세요. 
""생화+꽃꽂이 재료+강의""를 당신의 집으로 보내드려요.",2021.03.10-2021.03.29,None
23,공연·컬쳐,'빛나는 별은  당신에게 '  청년들이 기획하는 뮤지컬 '한 울',허재범,5%,"552,500원","10,000,000원",53,18,"청년들과 청소년들이 만들어내는, 단군왕검을 소재로 한 뮤지컬. 여러분들의 도움이 필요합니다!",2017.05.26-2017.06.30,펀딩성공
24,공연·컬쳐,[나는 기획자다] 코엑스가 기획 커뮤니티 멤버를 찾습니다!,코엑스,283%,"13,600,000원","4,800,000원",39,36,"코엑스의 축제형 컨퍼런스인 <360 서울, 2020>은 어떻게 만들어 질까요? ‘기획 커뮤니티’에 참여하여 그 특별한 과정에 동행하세요!",2019.12.26-2020.01.12,None
25,공연·컬쳐,'승마' 또다른 '취미'가 되다.,말산업협동조합,1%,"90,000원","5,000,000원",2,1,"승마가 대중화되고 있다는 사실. 여러분 알고 계셨나요?
승마를 엘리트 스포츠라고 생각하신다면 이제그만!
지금부터 여러분들을 위해 전문적으로 승마를 배워볼 수 있는프로그램을 소개합니다.",2014.07.24-2014.08.31,펀딩성공
26,공연·컬쳐,[토닥토닥 연말콘서트] 한 해동안 수고한 당신을 위한 따뜻한 노래,토브사운드,104%,"1,040,000원","1,000,000원",32,19,한 해 동안 수고했던 마음들에게 따뜻한 위로가 되는 콘서트를 만들어 가고 싶습니다.,2018.11.13-2018.11.28,None
27,공연·컬쳐,<휴게소> 인간의 사악함이 사탄을 깨우다,(주)스타이엔엠,1%,"50,000원","5,000,000원",1,4,"늦은 시간 휴게소를 가지마라! 당신이 타겟이 될 지도 모른다!
휴게소에서 벌어지는 인간의 사악하고 이기적인 본능이 만든
충격적인 반전과 공포가 시작된다!",2017.08.29-2017.10.09,펀딩성공
28,공연·컬쳐,새로운 도전들로 가득한 복합 예술 공연 Via,김상준,20%,"100,000원","500,000원",6,0,"힙합, R&B, Live session, 영상, 설치 미술에 도전하는 IVC Records의 새로운 한걸음이 4월 25일 서강대 아루페관 KINOBEANS에서 열립니다. 복합예술공연 Via로 초대합니다.",2016.04.08-2016.04.18,펀딩성공
29,공연·컬쳐,"[동명이인 프로젝트-시나리오북] 다시, 두 사람의 이야기가 펼쳐집니다.",올드웨일,4%,"91,000원","2,000,000원",3,3,"동명이인 프로젝트 Scenario Book에 후원해주시면, 옴니버스 장편영화 <동명이인 프로젝트, 시즌3>이 제작됩니다.",2019.01.31-2019.03.03,펀딩성공
30,공연·컬쳐,특별한 날을 위한 아주 특별한 노래,YourMusic,0%,0원,"5,000,000원",2,10,"당신의 인생은 특별합니다. 그래서 특별한 노래가 필요합니다.
    충남창조경제혁신센터 파트너와 함께합니다.",2017.08.30-2017.09.30,펀딩성공
31,공연·컬쳐,한국 최초 여성영화의 장! SIWFF 20주년 여성감독 DVD 콜렉션 ,서울국제여성영화제,385%,"3,850,000원","1,000,000원",105,30,"'여성의 눈으로 세계를 보자'라는 주제 아래, 역량있는 여성영화인들을 발굴&지원해 온 서울국제여성영화제가 올해 20주년을 맞아 이를 기념하는 단편 DVD 콜렉션을 선보입니다!",2018.05.10-2018.05.23,None
32,공연·컬쳐,밀라노 아트페어를 찾아가는 경쾌한 불교 미술,배종훈,17%,"886,000원","5,000,000원",15,0,불교와 명상 이야기를 현대적이고 경쾌하게 표현하는 미술 작업을 하고 있는 작가입니다.우리 불교의 가치는 이미 높습니다.  그것을 세계에 알리고 싶습니다. 그 첫 시작으로 이탈리아 밀라노에서 열리는 국제아트페어에 제 작품을 직접 들고 나가려 합니다.,2015.02.03-2015.03.15,펀딩성공
33,공연·컬쳐,"누적 6억 | 2가지 스트링을 하나로, 작고 가벼운 기타 Klang S",조동진 기타제작소,12016%,"120,162,000원","1,000,000원",490,894,모든 시리즈의 장점을 모았습니다. 손가락이 아파서 연습을 포기했던 기억이 있나요? Klang S는 손가락과 손목의 부담을 줄여서 연습하기 쉽도록 디자인 되었습니다.,2021.03.30-2021.04.26,None
34,공연·컬쳐,복민이와 TED 2014 컨퍼런스 참석 함께하기,어복민,135%,"690,000원","510,000원",31,1,"안녕하세요? 저는 TEDxKT 오거나이저 어복민입니다.
이번에 캐나다에서 열리는 TED Active에 참여하기 위해 큰 용기를 내었습니다.
좋은 경험을 하고 돌아와 여러분과 더 많이 나누겠습니다. 
응원해주세요!",2014.02.22-2014.03.24,None
35,공연·컬쳐,"내가 뽑는 버스킹 스타 ""2019 대한민국 버스킹콘테스트"" 결선 후원",버스킹TV,167%,"838,000원","500,000원",75,23,"국내 문화산업 발전을 위해 YTN과 버스킹플레이가 함께하는 '2019 대한민국 버스킹콘테스트'
청중 평가단의 사전&현장 투표권!",2019.11.15-2019.11.28,None
36,공연·컬쳐,인도여행 중에 만난 훈남과 일주일. 웹드라마 <인도행티켓>,(주)콘플로우 컴퍼니,584%,"58,458,000원","10,000,000원","1,533",1184,인도여행 중에 만난 훈남과 일주일. 웹드라마 <인도행티켓>,2020.02.08-2020.02.21,None
37,공연·컬쳐,"[프라이빗도슨트] 피카소가 사랑한 화가, 툴루즈 로트렉 국내 최초 단독전",메이드인뷰,469%,"4,692,000원","1,000,000원",96,61,"19세기 후반, 낭만이 넘치던 파리가 사랑한 '작은 거인', 툴루즈 로트렉 작품이 국내 최초 단독전으로 소개됩니다. 누구보다 빠르게 예술의 전당에서 프라이빗 도슨트로 만나세요.",2019.12.05-2019.12.29,None
38,공연·컬쳐,"나만의 색깔 찾기, The COLORED",THE COLORED,106%,"530,000원","500,000원",37,16,"취업, 승진, 결혼..
세상은 우리에게 모두 같은 모습의 삶을 살아가기를 요구합니다.
여기, 자신만의 색깔로 살아가는 사람들이 있습니다.
당신의 색깔은 무엇인가요?",2019.08.08-2019.08.24,None
39,공연·컬쳐,이별을 통해 사랑을 배운 Kevin Kang의 첫작품,강원상(Kevin Kang),103%,"2,061,000원","2,000,000원",108,1,"<30대 직장인도 꿈이 있습니다>

<이제 그 꿈에 한발 다가가려 합니다>",2015.09.01-2015.10.31,None
40,공연·컬쳐,국!내!유!일! 코미디 체험극 당신이 주인공의 중국 진출 프로젝트,당신이주인공,0%,"35,000원","5,000,000원",5,1,"50만명이 함께한 국내 최초 코미디 체험극 '당신이 주인공!'
이제는 중국 진출을 위해 더 많은 당신들과 함께하려고 합니다!
여러분의 참여가 곧 '당신이 주인공'이 세계 무대로 향하는 밑거름이 됩니다. 
함께 하실래요?",2014.08.13-2014.10.30,펀딩성공
41,공연·컬쳐,[와디즈 한정] 크로스오버 그룹 <안단테> 첫 번째 단독 콘서트,(주)위클래식,1189%,"12,490,000원","1,050,000원",89,62,"와디즈 ONLY !  
크로스오버 그룹 <안단테> 첫 번째 단독 콘서트. 
다양한 색깔로 가슴을 물들일 크로스오버의 진수를 만나다!",2021.04.15-2021.05.03,None
42,공연·컬쳐,"카페처럼 쉽게 찾고, 커피처럼 친숙한 현대무용ㅣUniverse in Me",문화오름,105%,"3,175,000원","3,000,000원",18,14,"현대무용이 만들어지는 과정을 A부터 Z까지 알 수 있는 기회!
아티스트와 작품에 관해 이야기 나눠 볼 수 있는 시간!",2019.08.12-2019.08.19,None
43,공연·컬쳐,"인생사진? 이젠 쉬워요~ 억지웃음, 어색함 걱정 끝! [컨페티 사진관]",최수진,3242%,"16,211,000원","500,000원",127,95,인생사진? 이젠 쉬워요~억지로 웃지 않아도 인생사진을 건지는 '컨페티사진관'! 던지기만 하면 웃음이 나오는 '마법의 가루'와 함께신나게 던지고 놀면서 인생사진 남기세요!,2020.07.31-2020.08.17,None
44,공연·컬쳐,누구나 무료로 배울 수 있는 통기타 강좌 제작,유인석,51%,"1,530,000원","3,000,000원",64,9,유튜브에 무료 기타 강좌와 연주 영상을 업로드 하고 있는 카페인기타입니다. 여러분의 후원을 필요로 합니다. 2016년에도 카페인기타가 계속 활동할 수 있도록 도와주세요!,2015.12.07-2015.12.25,펀딩성공
45,공연·컬쳐,"세상 어디에도 없는 음악, 뮤지컬 <광염 소나타>",코어씨드㈜,682%,"6,820,000원","1,000,000원",82,17,동명의 고전소설을 모티브로 한 탄탄한 구성! 클래식 선율이 더해진 새로운 스타일의 스릴러 뮤지컬! 아름다운 클래식 선율 뒤에 숨겨진 파멸... 예술의 진정한 가치는 무엇인가?,2017.04.07-2017.04.16,None
46,공연·컬쳐,"청춘인디콘썰트, 끝나지 않을 우리들의 이야기",다락방 기획,10%,"52,500원","500,000원",3,0,"각기 다른 매력으로 청춘을 노래하는 인디뮤지션들과
한때 청춘이었던 또는 지금 청춘인 사람들과 만나
서로 공감하고 소통하는 토크 콘서트입니다..",2018.02.21-2018.03.04,펀딩성공
